Name,Ingredients
apple_pie,['2 3/4 cups all-purpose flour; divided; plus more for rolling'; '1 1/4 teaspoon salt; divided'; '1/3 cup plus 1 1/2 tablespoons granulated sugar; divided'; '2 sticks (16 tablespoons) unsalted butter; cut into small pieces and frozen for 15 minutes'; '1 tablespoon apple cider vinegar; chilled'; '1 large egg'; '1 tablespoon whole milk'; '3 1/2 pounds Honeycrisp; Braeburn; or Golden Delicious apples; or a mix'; '1 teaspoon ground cinnamon'; '1/4 teaspoon ground nutmeg'; '2 tablespoons lemon juice'; 'Coarse sugar; for sprinkling'; '9-inch pie pan']
baby_back_ribs,['5 Tbsp (75 mL) packed brown sugar'; '3 Tbsp (45 mL) kosher salt'; '2 Tbsp (30 mL) sweet smoked paprika 4 tsp (20 mL) ancho chili powder'; '1 Tbsp (15 mL) paprika'; '1 Tbsp (15 mL) onion powder'; '1 Tbsp (15 mL) freshly cracked black pepper 2 tsp (10 mL) dried thyme leaves'; '6 racks baby back ribs; about 6 lb (2.7 kg)'; '4 medium chunks hickory wood; soaked in water for at least 2 hours (if using a charcoal grill) or 4 cups (1 L) hickory wood chips; soaked in water for at least 2 hours (if using a gas grill)'; '3?4 cup (185 mL) apple cider'; '1?2 cup (125 mL) ketchup'; '3 Tbsp (45 mL) red wine vinegar'; '1 Tbsp (15 mL) Dijon mustard'; '2 tsp (10 mL) light soy sauce'; '1 tsp (5 mL) Worcestershire sauce'; '1 tsp (5 mL) molasses'; '1?2 tsp (2 mL) ancho chili powder'; '1?2 tsp (2 mL) ground cumin'; '1?2 tsp (2 mL) minced garlic'; '1?4 tsp (1 mL) freshly ground black pepper']
baklava,['3 1/2 cups walnuts; chopped'; '1/2 cup sugar'; '1 teaspoon ground cinnamon'; '1/2 teaspoon ground cardamom'; '1/4 teaspoon ground cloves'; '1 pound package phyllo sheets; thawed'; '1 1/2 cups butter; melted'; '2 cups; plus 2 tablespoons sugar'; '1 1/2 cups water'; '1/2 cup honey'; '1/4 lemon; peel only'; '1 clove']
beef_carpaccio,['2 teaspoons whole black peppercorns';'2 teaspoons fennel seeds';'1 teaspoon white peppercorns';'1 teaspoon coarse kosher salt';'1 1/2 teaspoons dried lavender blossoms';'4 tablespoons olive oil';'1 1 1/4-pound trimmed beef tenderloin';'2 cups lightly packed fresh arugula';'1 2-ounce wedge aged Gouda cheese; shaved using vegetable peeler']
beef_tartare,['1 8-ounce boneless New York strip steak'; 'Kosher salt; freshly ground pepper'; '1 tablespoon olive oil; plus more for drizzling'; '1 sprig rosemary'; '2 garlic cloves; unpeeled'; 'Flaky sea salt']
beet_salad,['4 medium red or golden beets (4 ounces each); stems and root ends removed'; '1/3 cup walnuts; chopped'; '1 tablespoon balsamic vinegar'; 'Freshly ground black pepper'; '1 tablespoon sunflower-seed oil'; '2 ounces lowfat goat cheese']
beignets,['1 cup lukewarm milk; about 110�F'; '1/2 cup granulated sugar'; '1 package dry yeast'; '4 cups all-purpose flour'; '1/2 cup melted butter'; '1/2 teaspoon salt'; '1/2 teaspoon vanilla extract'; '4�6 cups canola oil'; '1 cup powdered sugar']
bibimbap,['3/4 cup soy sauce'; '6 tablespoons toasted sesame oil'; '4 tablespoons light brown sugar'; '1 pound ground turkey; beef; or pork'; '2 tablespoons vegetable oil'; '4 large eggs'; '2 cups cooked rice (Chinese takeout works well)'; 'Assorted vegetables (shredded carrot; canned baby corn; spinach; bean sprouts; red onion ); steamed or raw'; 'Toasted sesame seeds']
bread_pudding,['25 ounces brioche; sliced'; '4 cups whole milk; at room temperature'; '3 large eggs; separated'; '1/2 cup sugar'; 'Pinch of salt'; '1 teaspoon vanilla extract'; '1/2 cup sugar; or more to taste'; 'Grated zest and juice of 1 large orange; or more juice to taste'; '1 cup water'; '1/2 cup dry white wine or cherry or plum eau-de-vie']
breakfast_burrito,['4 eggs'; '2 tablespoons milk'; '3/4 cup pinto beans; cooked; rinsed and drained'; '1/2 cup salsa'; 'canola oil spray; oil or butter for pan'; '2 corn tortillas; warmed if desired'; 'sour cream; cheese or avocado; optional']
